vendor	name	url	enable_proxy	description	more_info	subjects	content_id
Encyclopedia Britannica	Encyclopedia Britannica Online	http://aus.idm.oclc.org/login?url=http://academic.eb.com	1	Online and multimedia version of Encyclopædia Britannica, Merriam-Webster's Collegiate Dictionary, Merriam-Webster's Collegiate Thesaurus, and Merriam-Webster's Dictionary of Quotations. Also included are the World Atlas, and World Data Analyst Online, a program with current and historical statistics on 217 countries of the world which makes for easy historical and cross-national comparisons.		Academic-General	12104812
Érudit	Érudit (English site)	http://aus.idm.oclc.org/login?url=https://www.erudit.org/en/journals/	1	Érudit is a Quebecois non-profit publisher that covers a wide range of disciplines within the human, social and natural sciences. They provide access to a large body of French and bilingual research.		 Social Sciences; TESOL and Translation; Open Access	27838503
Gale Group	Gale Virtual Reference Library	http://aus.idm.oclc.org/login?url=http://www.galepages.com/971sharjah	1	Gale Virtual Reference Library (GVRL) provides access to reference books in a variety of subjects, including education, history, literature, mathematics, and social sciences.			
Corporation for National Research Initiatives (CNRI)	Handle.Net Registry	http://www.handle.net/prefix.html	0	Features The Handle System, a distributed computer system that stores names (handles) of digital items and can quickly resolve those names into the information necessary to locate and access the items.			
ICE Virtual Library	ICE Mangement Ebooks - A7U	http://aus.idm.oclc.org/login?url=http://www.icevirtuallibrary.com/	1	ICE (Institution of Civil Engineers) is a leading provider of authoritative and comprehensive information for professionals and academics in civil engineering and construction world-wide. Their publications include multi-author reference works, state-of-the-art reports, technical books, conference proceedings and contract documents.			
IEEE	IEEE All-Society Periodicals Package (ASPP) 1998-Present	http://aus.idm.oclc.org/login?url=https://ieeexplore.ieee.org/	1	IEEE Xplore provides access to the AbstractPlus records and full text published since 1998 from IEEE journals, transactions, and magazines and full-text online access to conference proceedings from over 1,200 current IEEE conferences with a backfile to 2005.			
IEEE	IEEE Xplore	http://aus.idm.oclc.org/login?url=https://ieeexplore.ieee.org/	1	IEEE Xplore provides access to the AbstractPlus records and full text published since 1998 from IEEE journals, transactions, and magazines and full-text online access to conference proceedings from over 1,200 current IEEE conferences with a backfile to 2005.		 Engineering	12104694
IEEE	IEEE Xplore Bell Labs Technical Journal	http://aus.idm.oclc.org/login?url=https://ieeexplore.ieee.org/	1	The Bell Labs Technical Journal highlights results of research Bell Labs is undertaking aimed at solving the current challenges in information and communications technology (ICT), and finding solutions that are 10x better than those available today.  Articles and papers are written by Alcatel-Lucent researchers, scientists, engineers, and technologists.			
INFORMS	INFORMS	http://aus.idm.oclc.org/login?url=http://www.informs.org	1	The Institute for Operations Research and the Management Sciences (INFORMS) is the largest society in the world for professionals in the field of operations research (O.R.), management science, and analytics.			
Institute of Physics	IOP eBooks	http://aus.idm.oclc.org/login?url=http://iopscience.iop.org/books	1	IOP ebooks brings together innovative digital publishing with leading voices in scientific, technical, engineering and medical (STEM) research to create the essential collection of books for a digital world.			
International Federation of Library Associations and Institutions	International Federation of Library Associations and Institutions	http://www.ifla.org/	0	The International Federation of Library Associations and Institutions (IFLA) is the leading international body representing the interests of library and information services and their users. It is the global voice of the library and information profession.			
Jashanmal	Jashanmal Print Journals - A7U		1	All print periodicals purchased from Jashanmal (local UAE vendor).			
JSTOR	JSTOR Arts & Sciences XIII Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
JSTOR	JSTOR Arts & Sciences V Collection	http://aus.idm.oclc.org/login?url=http://www.jstor.org/	1	JSTOR is an online archive of core scholarly journals and books in a wide variety of disciplines. It provides full text articles in back issues of journals from the earliest issues to within a few years of current publication, as well as book chapters. Please note that the current volume of a journal is NOT available on JSTOR; the latest volume available on JSTOR is usually 3-5 years old.			
